1;Pojęcie i rodzaje procesu karnego
2;Istota i aksjologia procesu karnego
3;Cele procesu karnego
4;Źródła prawa karnego procesowego
5;Przedmiot procesu oraz podstawa jego wszczęcia
6;Pojęcie i warunki rzetelnego procesu karnego
7;Funkcje procesowe i funkcje przepisów prawa karnego procesowego
8;Postępowanie karne i jego rodzaje
9;Postępowanie mediacyjne
10;Dyrektywy Parlamentu Europejskiego i Rady (informacyjna, niewinnościowa, o dostępie oskarżonego do adwokata) oraz ich znaczenie dla procesu karnego
11;Granice procesu karnego
12;Gwarancje prawidłowego wymiaru sprawiedliwości
13;Pojęcie i klasyfikacja oraz systematyka naczelnych zasad procesowych
14;Udział społeczeństwa w wymiarze sprawiedliwości oraz samodzielność jurysdykcyjna sądu karnego
15;Zasada prawdy materialnej
16;Zasada obiektywizmu i procesowe jej gwarancje.
17;Niezależność i niezawisłość. Ustrojowe i proceduralne gwarancje niezawisłości
18;Zasada domniemania niewinności oraz zasada in dubio pro reo
19;Rozkład ciężaru dowodu w procesie karnym. Obowiązek dowodzenia
20;Zasada swobodnej oceny dowodów oraz zasada bezpośredniości
21;Zasada skargowości oraz zasada działania z urzędu
22;Dysponowanie skargą przez oskarżyciela
23;Zasada kontradyktoryjności i zasada inkwizycyjności
24;Zasada legalizmu pierwszego i drugiego stopnia
25;Oportunistyczne instytucje procesu karnego
26;Instytucje konsensualnego zakończenia procesu karnego
27;Prawo do obrony. Zakres podmiotowy, przedmiotowy i temporalny
28;Zasada jawności i tajności
29;Zasada szybkości postępowania. Skarga na naruszenie prawa strony do rozpoznania sprawy bez zbędnej zwłoki
30;Pojęcie przesłanek procesowych i warunków dopuszczalności procesu
31;Formalne negatywne przesłanki procesowe
32;Materialne negatywne przesłanki procesowe
33;Immunitety. Pojęcie i rodzaje
34;Pojęcie i rodzaje czynności procesowych
35;Prawidłowość czynności procesowych. Pojęcie i cechy prawidłowej czynności procesowej. Skutki wadliwości czynności procesowych
36;Orzeczenia, zarządzenia i polecenia
37;Porządek czynności procesowych
38;Terminy i doręczenia
39;Dokumentowanie czynności procesowych
40;Dostęp do akt sprawy karnej
41;Pojęcie i kategorie uczestników procesu
42;Pokrzywdzony. Pojęcie i uprawnienia.
43;Oskarżyciel posiłkowy i prywatny
44;Oskarżony. Pojęcie, prawa i obowiązki
45;Obrońca oskarżonego. Rodzaje obrońców i zakres ich działania.
46;Narada i głosowanie nad orzeczeniem
47;Organy procesowe
48;Właściwość sądu. Pojęcie i rodzaje
49;Odstępstwa od rozpoznania sprawy przez sąd właściwy. Spory o właściwość
50;Skład sądu na rozprawie i posiedzeniu
51;Wyłączenie sędziego. Przesłanki i tryb postępowania. Bezstronność subiektywna i obiektywna
52;Strony procesowe. Pojęcie strony w znaczeniu formalnym i materialnym. Rodzaje stron procesowych
53;Reprezentanci stron procesowych. Pojęcie i rodzaje
54;Kumulacja ról procesowych i ich rozłączność
55;Pojęcie dowodu. Źródło dowodu, środek dowodowy, fakt dowodowy
56;Wprowadzanie dowodów do procesu karnego. Wniosek dowodowy
57;Przesłanki oddalenia wniosku dowodowego
58;Rodzaje dowodów
59;Szczególne rodzaje dowodów
60;Dowody nielegalne. Doktryna owoców zatrutego drzewa
61;Zakazy dowodowe. Pojęcie i systematyka
62;Zakazy dowodzenia faktów
63;Zakazy dowodzenia za pomocą określonych środków dowodowych
64;Zakazy określonych sposobów (metod) uzyskania dowodów
65;Udowodnienie i surogaty udowodnienia
66;Pojęcie i rodzaje czynności dowodowych
67;Zatrzymanie rzeczy, korespondencji i przesyłek
68;Przeszukanie - rodzaje, przesłanki i tryb postępowania
69;Kontrola i utrwalanie treści rozmów telefonicznych - granice podmiotowe, przedmiotowe i temporalne
70;Wykorzystanie informacji uzyskanych poza granicami kontroli i utrwalania treści rozmów telefonicznych
71;Podsłuch telefoniczny w toku czynności operacyjno-rozpoznawczych w ustawie o Policji. Problem tzw. następczej zgody sądu
72;Wrażliwe czynności dowodowe
73;Przesłuchanie i okazanie
74;Świadek anonimowy i świadek koronny
75;Oględziny, wizja lokalna i eksperyment procesowy. Czynności kontrolujące dowody
76;Pojęcie, cele, funkcje i rodzaje środków przymusu procesowego
77;Zatrzymanie osoby
78;Cele, funkcje i przesłanki środków zapobiegawczych
79;Dyrektywy środków zapobiegawczych
80;Czas stosowania środków zapobiegawczych
81;Postępowanie Habeas Corpus. Standard konstytucyjny, konwencyjny i ustawowy
82;Zakazy stosowania tymczasowego aresztowania
83;Posiedzenie w przedmiocie tymczasowego aresztowania
84;Poręczenie majątkowe, społeczne i osoby godnej zaufania
85;Dozór policji
86;Zawieszenie w czynnościach i zakaz opuszczania kraju
87;List żelazny i list gończy. Podobieństwa i odrębności
88;Pojęcie i rodzaje kar porządkowych
89;Zabezpieczenie majątkowe
90;Cele i funkcje postępowania przygotowawczego
91;Formy postępowania przygotowawczego
92;Rozpoczęcie postępowania przygotowawczego
93;Czynności niepowtarzalne w postępowaniu przygotowawczym
94;Przedstawienie zarzutów
95;Czynności sądowe w postępowaniu przygotowawczym
96;Zakończenie i zamknięcie postępowania przygotowawczego
97;Wniosek prokuratora o skazanie oskarżonego bez rozprawy. Przesłanki i tryb postępowania
98;Wniosek prokuratora o warunkowe umorzenie postępowania oraz o umorzenie postępowania i zastosowanie środków zabezpieczających
99;Umorzenie postępowania przygotowawczego i umorzenie rejestrowe
100;Nadzór prokuratora nad postępowaniem przygotowawczym
101;Formalna i merytoryczna kontrola aktu oskarżenia
102;Posiedzenie przygotowawcze (organizacyjne) przed rozprawą główną
103;Posiedzenia wyrokowe
104;Rozpoczęcie rozprawy głównej
105;Jawność rozprawy głównej
106;Udział oskarżonego w rozprawie. Prowadzenie rozprawy pod nieobecność oskarżonego
107;Pojęcie i przebieg przewodu sądowego
108;Redukcja postępowania dowodowego na rozprawie głównej
109;Głosy stron i wyrokowanie
110;Pojęcie i rodzaje środków zaskarżenia. Modele postępowania odwoławczego
111;Cechy, granice i kierunek środka odwoławczego
112;Zakres zaskarżenia. Pojęcie, rodzaje i granice. Orzekanie poza granicami zaskarżenia i podniesionych zarzutów
113;Ogólne i szczególne wymogi środka odwoławczego
114;Zarzuty i przyczyny odwoławcze. Pojęcie i rodzaje
115;Rodzaje rozstrzygnięć organu odwoławczego. Ograniczenia w orzekaniu na niekorzyść oskarżonego
116;Apelacja i postępowanie apelacyjne
117;Granice postępowania dowodowego prowadzonego na rozprawie odwoławczej
118;Zażalenie i postępowanie zażaleniowe
119;"Pojęcie, istota i rodzaje postępowań szczególnych; powody i kryteria ich wyodrębniania"
120;Postępowanie w sprawach z oskarżenia prywatnego oraz postępowanie nakazowe
121;Postępowanie przyspieszone
122;Postępowanie w sprawie odpowiedzialności podmiotu zbiorowego za czyny zabronione pod groźbą kary
123;Sprzeciw i sprzeciwianie się. Różnice w konstrukcji jurydycznej. Granice „sprzeciwiania się”
124;Kasacja. Pojęcie, rodzaje i przesłanki oraz tryb postępowania. Rozstrzygnięcia sądu kasacyjnego
125;Wznowienie prawomocnie zakończonego postępowania sądowego. Pojęcie, przesłanki i tryb postępowania. Rozstrzygnięcia sądu w przedmiocie wznowienia
126;Wyrok łączny. Orzekanie kary łącznej w wyroku łącznym. Zasady i granice
127;Postępowanie w sprawie o ułaskawienie
128;Postępowanie w sprawie o odszkodowanie i zadośćuczynienie za niesłuszne skazanie, zatrzymanie i tymczasowe aresztowanie
129;Ekstradycja. Przesłanki i tryb postępowania
130;Europejski Nakaz Aresztowania
131;Europejski Nakaz Dochodzeniowy